대여소번호,대여소명,전체 이용건수,평일출근비중(%),평일퇴근비중(%),주말이용비중(%)
"2715","2715.마곡나루역 2번 출구",173645,21.61%,24.73%,20.16%
"1210","1210. 롯데월드타워(잠실역2번출구 쪽)",122673,12.92%,29.86%,25.53%
"2728","2728.마곡나루역 3번 출구",121698,19.90%,25.22%,16.18%
"2701","2701. 마곡나루역 5번출구 뒤편",114953,35.88%,23.45%,14.40%
"5515","5515.한강버스 망원 선착장",97178,2.55%,14.75%,44.06%
"230","230. 영등포구청역 7번출구",90789,20.93%,21.17%,20.86%
"502","502. 자양(뚝섬한강공원)역 1번출구 앞",88882,11.36%,19.67%,32.46%
"2622","2622. 올림픽공원역 3번출구",79556,13.26%,20.29%,30.84%
"2608","2608. 송파구청",79455,10.63%,23.65%,28.54%
"1124","1124. 발산역 6번 출구 뒤",72977,11.57%,22.05%,25.67%
"1911","1911. 구로디지털단지역 앞",70484,17.86%,24.66%,21.64%
"792","792.목동트라팰리스 웨스턴에비뉴",70074,3.53%,20.23%,28.74%
"769","769.CBS방송국 앞",69556,4.45%,24.52%,31.47%
"4217","4217. 한강공원 망원나들목",69466,4.88%,14.34%,39.39%
"3533","3533. 건대입구역 사거리(롯데백화점)",68937,9.13%,19.06%,29.90%
"247","247. 당산역 10번출구 앞",67725,13.70%,24.40%,24.57%
"4870","4870. 몽촌토성역 3번 출구",67510,11.25%,19.59%,27.67%
"272","272. 당산육갑문",67379,9.41%,19.64%,32.45%
"1160","1160. 양천향교역 7번출구앞",67279,16.69%,20.56%,21.69%
"1166","1166. 강서구립등빛도서관",67255,22.10%,15.88%,24.06%
"3939","3939.신도림역 3번출구",67072,10.98%,30.24%,24.58%
"5052","5052. 마곡역 7번출구",66948,20.72%,26.37%,18.45%
"765","765. 오목교역 3번출구",66480,7.72%,20.84%,29.13%
"4565","4565. 영등포 신세계백화점",66307,5.05%,23.62%,33.55%
"2102","2102. 봉림교 교통섬",65867,6.66%,16.73%,31.39%
"5768","5768.방이삼거리",64144,10.37%,17.47%,27.95%
"2733","2733.마곡13단지 정문 앞",63937,30.76%,11.18%,22.77%
"3798","3798. 그랜드아이파크아파트 앞",63748,27.06%,15.55%,22.62%
"583","583. 청계천 생태교실 앞",62641,8.36%,16.46%,36.65%
"2721","2721.등촌1-10단지 교차로",62188,25.21%,21.02%,18.99%
"5891","5891.한강버스 여의도 선착장",61488,1.36%,17.51%,42.71%
"5082","5082. 가양역 7번출구",61448,13.74%,25.02%,21.90%
"2620","2620. 송파나루역 4번 출구옆",61183,13.60%,17.39%,28.42%
"529","529. 장한평역 8번 출구 앞",60925,25.26%,22.20%,17.15%
"1050","1050.  둔촌역 3번 출입구",60119,13.71%,17.48%,25.26%
"113","113. 홍대입구역 2번출구 앞",59869,12.02%,28.13%,22.79%
"1906","1906. 신도림역 1번 출구 앞",59498,21.99%,25.63%,22.45%
"1151","1151. 마곡역1번출구",59399,17.81%,24.27%,20.96%
"5858","5858. 영등포역5번출구",59215,20.23%,16.08%,26.32%
"3534","3534. 건대입구역 5번출구 뒤",58808,10.89%,18.23%,27.10%
"5153","5153.한강버스 뚝섬 선착장",58351,2.04%,17.70%,40.97%
"508","508. 성수아카데미타워 앞",57587,25.70%,24.73%,15.94%
"1009","1009. 천호역4번출구(현대백화점)",57506,7.94%,24.35%,28.51%
"1867","1867.대륭포스트타워6차 앞",56544,19.18%,36.33%,13.29%
"2717","2717.LG유플러스 마곡사옥",56514,7.27%,48.09%,8.16%
"1222","1222. 잠실새내역 5번 출구 뒤",55811,9.11%,19.31%,28.31%
"781","781.신정보도육교 아래",55742,27.23%,13.97%,24.29%
"3518","3518. 군자역 7번출구뒤",55695,18.10%,20.80%,22.50%
"1625","1625. 상계역 3번출구",55091,14.80%,17.10%,25.37%
"4574","4574. 영등포시장역 포레나영등포",54936,16.58%,20.69%,24.05%
"1112","1112. 마곡엠밸리4단지 정문",54666,13.13%,20.43%,23.81%
"1152","1152. 마곡역교차로",54446,14.38%,27.21%,19.02%
"4543","4543. 오목교역 6번 출구",53602,12.14%,24.03%,25.17%
"2739","2739.수명산파크1단지교차로",53373,28.49%,13.06%,22.34%
"4457","4457. 아산병원 기숙사 부근",53097,6.67%,29.46%,16.13%
"726","726. 목동3단지 시내버스정류장",52964,22.12%,14.38%,25.01%
"585","585. 성수2가1동 공영주차장 인근",52416,16.23%,18.47%,27.41%
"797","797.목동아파트 1422동 1434동 사잇길",52209,21.59%,15.34%,25.89%
"708","708. 서울출입국관리사무소 앞",52154,13.94%,20.06%,24.03%
"5784","5784.한강버스 잠실 선착장",51916,3.13%,14.49%,46.31%
"1019","1019. 다성이즈빌아파트(호원대 대각선 맞은편)",51646,20.92%,16.18%,23.68%
"3569","3569.건대병원후문",51584,14.45%,18.12%,21.65%
"4571","4571. 문래동롯데캐슬아파트",51277,24.26%,18.50%,22.73%
"1158","1158. 가양역 8번출구",51228,14.72%,21.51%,22.36%
"1190","1190. 마곡역 교차로(2번출구)",51145,12.10%,25.70%,23.43%
"770","770.목동역5번출구",50444,14.99%,23.06%,19.58%
"1078","1078.둔촌사거리",49945,14.40%,14.27%,30.95%
"5781","5781. 올림픽공원 수영장",49519,15.27%,12.86%,23.09%
"4561","4561. 양평역 1번출구",49418,25.47%,21.17%,20.03%
"3780","3780. 등촌서광아파트",49309,22.71%,15.73%,24.14%
"240","240. 문래역 4번출구 앞",48986,20.59%,22.31%,21.34%
"1020","1020. 강동경찰서",48978,20.18%,15.86%,20.07%
"1925","1925. 동양미래대학교 정문 옆",48965,13.47%,15.36%,26.79%
"5651","5651.한강버스 옥수 선착장",48408,3.81%,18.73%,39.42%
"1167","1167. 마곡수명산파크3단지 교차로",48269,24.71%,15.26%,23.79%
"1601","1601. 석계역 문화광장 내 자전거 보관소",48192,9.77%,21.80%,23.78%
"3681","3681. 길동 마루빌딩",48138,12.02%,17.06%,27.78%
"207","207. 여의나루역 1번출구 앞",47872,9.34%,23.76%,31.73%
"209","209. 유진투자증권빌딩 앞",47705,5.07%,36.51%,24.01%
"5061","5061. 우장산동 가곡어린이공원앞",47558,14.14%,15.75%,25.38%
"1184","1184. 마곡13단지",47319,33.01%,11.68%,23.20%
"3668","3668. 성내삼성아파트",47247,21.45%,15.42%,24.21%
"1084","1084. 윤선생빌딩(JYP사옥)",46577,11.54%,24.96%,24.37%
"746","746. 목동2단지 상가",46240,5.77%,18.02%,32.08%
"1157","1157. 강서구청",46181,28.94%,16.86%,19.73%
"243","243. 이앤씨드림타워 앞",46132,11.14%,25.23%,23.38%
"1608","1608. 공릉역 1번 출구 앞",46131,12.65%,20.52%,22.06%
"1044","1044. 굽은다리역",46104,12.41%,17.13%,26.96%
"4940","4940.한강버스 압구정 선착장",46092,2.82%,18.13%,43.82%
"787","787.양천아파트 입구",46086,28.33%,14.21%,23.22%
"3571","3571.화양 APT(횡단보도 옆)",45986,18.79%,17.91%,22.42%
"4531","4531. 목동아파트 613동 앞",45950,22.40%,13.88%,27.59%
"4029","4029. 청소년수련관 후문",45915,20.37%,12.58%,26.89%
"4137","4137. 답십리역 4번출구",45845,11.78%,25.14%,22.67%
"2639","2639.석촌역 8번출구",45582,16.56%,20.25%,23.94%
"263","263. 근로자회관 사거리",45137,12.89%,23.12%,23.11%
"1117","1117. 등촌5단지아파트 버스정류장",45000,14.54%,19.79%,21.73%
"2719","2719.마곡문화공원",44848,10.03%,41.18%,13.06%
"202","202. 국민일보 앞",44756,8.82%,35.98%,21.34%
"4508","4508. 유원목동아파트 103동 앞",44528,13.89%,15.66%,24.53%
"1295","1295. 잠실역 8번출구",44519,6.75%,24.03%,28.30%
"5096","5096. LG사이언스파크 E14동",44505,9.27%,56.20%,2.19%
"1011","1011. LIGA 아파트 앞",44309,17.28%,16.05%,24.27%
"1173","1173. 강서구청사거리(SH타워)",44097,25.40%,14.19%,23.76%
"795","795.양천 해누리타운",44085,12.02%,20.27%,22.15%
"1149","1149. 신방화역환승주차장",44051,12.45%,21.68%,23.99%
"3680","3680. 강동역3번출구",43786,17.40%,19.88%,21.63%
"2628","2628.문정역 1번출구",43514,15.87%,21.34%,20.62%
"2646","2646.레이크펠리스101동앞",43374,13.54%,15.06%,28.95%
"1985","1985. 구로도서관",43317,17.02%,16.07%,24.93%
"779","779. 신정1동 주민센터 앞",43270,15.09%,17.66%,26.90%
"1182","1182. KBS 스포츠월드",43259,22.08%,16.42%,18.50%
"3219","3219.영등포역 1번출구",43185,17.43%,22.48%,25.58%
"217","217. NH농협은행 앞",43039,11.12%,36.98%,12.69%
"1637","1637. KT 전화국 버스정류장 옆",42925,5.97%,21.41%,28.58%
"4452","4452. 삼성SDS",42597,6.59%,41.89%,14.41%
"703","703. 오목교역 7번출구 앞",42528,13.84%,25.53%,22.86%
"3881","3881. 신자초교입구 교차로",42468,22.60%,12.39%,26.61%
"1024","1024.  강동구청 앞",42209,13.68%,21.97%,22.73%
"5080","5080. 가양역 1번출구",42174,17.80%,21.43%,21.98%
