대여소번호,대여소명,전체 이용건수,평일출근이용건수,평일퇴근이용건수,주말이용건수,평일출근비중,평일퇴근비중,주말비중,군집_이용건수,군집_이용비중,위도,경도
2715,2715.마곡나루역 2번 출구 ,173645,37531,42945,35006,0.2161363701805407,0.2473149241268104,0.2015952086152783,3,1,37.56692505,126.82743835
1210,1210. 롯데월드타워(잠실역2번출구 쪽),122673,15850,36630,31317,0.1292052855966675,0.2985987136533711,0.2552884497811254,3,1,37.51312637,127.10095978
2728,2728.마곡나루역 3번 출구,121698,24221,30696,19691,0.1990254564577889,0.252230932307844,0.1618021660175188,3,1,37.56580353,126.82807922
2701,2701. 마곡나루역 5번출구 뒤편,114953,41240,26959,16553,0.3587553173905857,0.2345219350517167,0.1439979817838595,3,0,37.56520081,126.82731628
5515,5515.한강버스 망원 선착장,97178,2477,14333,42817,0.0254893082796517,0.1474922307518162,0.4406038403753936,2,3,37.55466461,126.89590454
1153,"1153. 발산역 1번, 9번 인근 대여소",96067,11272,18663,21977,0.117334776770379,0.1942706652648672,0.2287674227362153,2,1,37.55894852,126.83717346
230,230. 영등포구청역 7번출구,90789,19004,19217,18943,0.2093205123968762,0.2116666115939155,0.2086486248334049,2,1,37.52463531,126.89621735
502,502. 자양(뚝섬한강공원)역 1번출구 앞,88882,10099,17484,28850,0.1136225557480704,0.1967102450439909,0.3245876555433046,2,3,37.53186035,127.06719208
2622,2622. 올림픽공원역 3번출구,79556,10549,16141,24539,0.1325984212378702,0.2028885313489868,0.3084493941374629,2,3,37.51625824,127.13059235
2608,2608. 송파구청,79455,8444,18790,22675,0.1062739915675539,0.2364860612925555,0.285381662576301,2,3,37.5150528,127.10626984
1124,1124. 발산역 6번 출구 뒤,72977,8440,16093,18731,0.1156528769338284,0.2205215341820025,0.2566699096975759,2,3,37.55817795,126.8384552
1911,1911. 구로디지털단지역 앞,70484,12588,17379,15256,0.178593723398218,0.2465665966744225,0.2164462856818568,2,1,37.48493958,126.90132141
792,792.목동트라팰리스 웨스턴에비뉴,70074,2476,14179,20140,0.0353340754059993,0.2023432371492993,0.2874104518080886,2,3,37.52537155,126.8709259
769,769.CBS방송국 앞,69556,3096,17054,21890,0.0445108976939444,0.2451837368451319,0.3147104491345103,2,3,37.52785492,126.87467194
4217,4217. 한강공원 망원나들목,69466,3393,9963,27361,0.0488440388103532,0.1434226815996314,0.3938761408458814,2,3,37.55557632,126.89688873
3533,3533. 건대입구역 사거리(롯데백화점),68937,6295,13138,20609,0.0913152588595384,0.1905798047492638,0.2989541175275976,2,3,37.53913879,127.07061768
247,247. 당산역 10번출구 앞,67725,9277,16523,16637,0.1369804355850867,0.2439719453672942,0.2456552233296419,2,1,37.53342056,126.90223694
785,"785.양천구청, 보건소 사잇길",67616,4734,16311,16048,0.0700130146710837,0.241229886417416,0.2373402744912446,2,1,37.51747513,126.86632538
4870,4870. 몽촌토성역 3번 출구,67510,7593,13225,18680,0.1124722263368389,0.1958969041623463,0.276699748185454,2,3,37.5170784,127.11232758
272,272. 당산육갑문,67379,6341,13233,21863,0.0941094406269015,0.1963965033615815,0.3244779530714317,2,3,37.53533936,126.90367889
1160,1160. 양천향교역 7번출구앞,67279,11227,13835,14595,0.166872278125418,0.2056362312162784,0.2169324752151488,2,1,37.56768036,126.84089661
1166,1166. 강서구립등빛도서관,67255,14860,10681,16184,0.2209501152330681,0.158813471117389,0.2406363839119768,2,0,37.56256866,126.84246063
3939,3939.신도림역 3번출구,67072,7366,20285,16485,0.1098222805343511,0.3024361879770992,0.2457806536259542,2,1,37.50760651,126.89134979
5052,5052. 마곡역 7번출구,66948,13873,17656,12349,0.2072205293660751,0.2637270717571847,0.1844565931767939,2,1,37.55974579,126.8243866
765,765. 오목교역 3번출구,66480,5130,13856,19363,0.0771660649819494,0.2084235860409145,0.2912605294825511,2,3,37.52477646,126.87548065
4565,4565. 영등포 신세계백화점,66307,3349,15664,22244,0.0505074878972054,0.2362344850468276,0.3354698598941288,2,3,37.51803589,126.90364838
2102,2102. 봉림교 교통섬,65867,4385,11018,20677,0.0665735497289993,0.1672764813943249,0.3139204761109508,2,3,37.48408508,126.92688751
5768,5768.방이삼거리,64144,6650,11209,17926,0.1036729857819905,0.1747474432526814,0.2794649538538289,2,3,37.51229095,127.10825348
2733,2733.마곡13단지 정문 앞,63937,19670,7147,14560,0.307646589611649,0.1117819103179692,0.2277241659758825,2,0,37.5586319,126.81991577
3798,3798. 그랜드아이파크아파트 앞,63748,17251,9914,14419,0.2706124113697685,0.1555186045052393,0.226187488234925,2,0,37.55510712,126.85154724
583,583. 청계천 생태교실 앞,62641,5237,10310,22958,0.0836033907504669,0.1645886879200523,0.3665011733529158,2,3,37.56797028,127.04689026
2721,2721.등촌1-10단지 교차로,62188,15675,13075,11807,0.2520582749083424,0.2102495658326365,0.1898597800218691,2,0,37.56320572,126.8393631
5891,5891.한강버스 여의도 선착장,61488,837,10765,26264,0.0136124121779859,0.1750748113453031,0.4271402550091074,2,3,37.52816391,126.93422699
5082,5082. 가양역 7번출구,61448,8444,15373,13459,0.1374170029944017,0.2501790131493295,0.219030725165994,2,1,37.56019592,126.8549118
2620,2620. 송파나루역 4번 출구옆,61183,8321,10639,17390,0.1360018305738522,0.173888171550921,0.2842292793749897,2,3,37.50997925,127.11231232
529,529. 장한평역 8번 출구 앞,60925,15391,13523,10446,0.2526220763233484,0.2219614279852277,0.1714567090685268,2,0,37.56137085,127.06365967
1050,1050.  둔촌역 3번 출입구,60119,8242,10510,15189,0.137094762055257,0.1748199404514379,0.252648912989238,2,3,37.52678299,127.13557434
113,113. 홍대입구역 2번출구 앞,59869,7195,16839,13647,0.1201790576091132,0.2812640932703068,0.227947685780621,2,1,37.5574379,126.9238205
1906,1906. 신도림역 1번 출구 앞,59498,13084,15252,13357,0.219906551480722,0.25634475108407,0.2244949410064204,2,1,37.50971985,126.89009857
1151,1151. 마곡역1번출구,59399,10580,14417,12449,0.1781174767251974,0.2427145238135322,0.2095826529066146,2,1,37.56020737,126.82414246
5858,5858. 영등포역5번출구,59215,11977,9522,15584,0.2022629401334121,0.1608038503757493,0.2631765599932449,2,0,37.51669312,126.90807343
3534,3534. 건대입구역 5번출구 뒤,58808,6405,10722,15939,0.1089137532308529,0.1823221330431234,0.2710345531220242,2,3,37.5401268,127.06949615
5153,5153.한강버스 뚝섬 선착장,58351,1188,10327,23905,0.020359548251101,0.1769806858494284,0.4096759267193364,2,3,37.52961349,127.06626129
508,508. 성수아카데미타워 앞,57587,14798,14242,9182,0.2569677184086686,0.2473127615607689,0.1594457082327608,2,1,37.54516602,127.05751038
1009,1009. 천호역4번출구(현대백화점),57506,4566,14003,16393,0.0794004103919591,0.24350502556255,0.285065906166313,2,3,37.53866577,127.12424469
1867,1867.대륭포스트타워6차 앞,56544,10846,20542,7516,0.1918152235427278,0.3632923033389926,0.1329230333899264,2,2,37.48088837,126.88380432
2717,2717.LG유플러스 마곡사옥,56514,4110,27175,4611,0.0727253423930353,0.4808543015889868,0.0815904023781717,2,2,37.56133652,126.83390045
1222,1222. 잠실새내역 5번 출구 뒤,55811,5087,10775,15798,0.0911469065238035,0.1930622995466843,0.2830624787228324,2,3,37.51198196,127.08505249
781,781.신정보도육교 아래,55742,15176,7785,13542,0.2722543145204693,0.139661296688314,0.2429406910408668,2,0,37.51759338,126.8765564
3518,3518. 군자역 7번출구뒤,55695,10080,11586,12530,0.1809857258281713,0.2080258551036897,0.2249753119669629,2,1,37.55686188,127.07913971
1625,1625. 상계역 3번출구,55091,8151,9421,13974,0.1479552013940571,0.1710079686337151,0.2536530467771505,2,3,37.65999985,127.07296753
4574,4574. 영등포시장역 포레나영등포,54936,9107,11367,13210,0.1657747196738022,0.206913499344692,0.2404616280763069,2,1,37.52341461,126.90540314
