순위,대여소번호,대여소명,맞춤가중합점수(5점만점),전체이용건수_점수(15%),평일출근비중_점수(40%),평일퇴근비중_점수(40%),주말이용비중_점수(5%),전체이용건수
1,"1906","1906. 신도림역 1번 출구 앞",4.85,5,5,5,2,59498
2,"3934","3934. 철도교통관제센터 정문 앞",4.85,5,5,5,2,23348
3,"2715","2715.마곡나루역 2번 출구",4.80,5,5,5,1,173645
4,"2701","2701. 마곡나루역 5번출구 뒤편",4.80,5,5,5,1,114953
5,"508","508. 성수아카데미타워 앞",4.80,5,5,5,1,57587
6,"6058","6058. 시청역 2번출구",4.80,5,5,5,1,34914
7,"2615","2615. 테라타워2",4.80,5,5,5,1,31739
8,"1198","1198. LG 사이언스파크",4.80,5,5,5,1,29807
9,"226","226. 샛강역 1번출구 앞",4.80,5,5,5,1,27796
10,"1851","1851. 가산디지털단지 9번출구 인근",4.80,5,5,5,1,27458
11,"203","203. 국회의사당역 3번출구 옆",4.80,5,5,5,1,27427
12,"2255","2255. 양재시민의숲역 1번출구",4.80,5,5,5,1,24789
13,"2724","2724.(재)FITI시험연구원",4.80,5,5,5,1,23311
14,"4556","4556. 리버뷰신안인스빌1차 후문",4.65,4,5,5,1,18647
15,"417","417. DMC역 2번출구 옆",4.65,4,5,5,1,18562
16,"1830","1830. 빅마켓 금천점 앞",4.65,4,5,5,1,18014
17,"578","578. 성동세무서 부근",4.65,4,5,5,1,17969
18,"1804","1804. 독산역 2번출구 자전거주차장",4.65,4,5,5,1,17246
19,"4386","4386. 현대자동차 동부서비스센터 주변",4.65,4,5,5,1,16305
20,"1908","1908. 해원리바파크 육교 밑",4.50,5,5,4,3,35460
21,"5098","5098. LG사이언스파크 W4동",4.50,3,5,5,1,12338
22,"3989","3989.가산디지털단지역 9번출구 앞",4.50,3,5,5,1,11985
23,"3988","3988. 엘아르베뉴 102동 앞",4.50,3,5,5,1,11476
24,"1239","1239. 문정 법조단지3",4.50,3,5,5,1,9309
25,"3008","3008.DMC역7번출구",4.50,3,5,5,1,9268
26,"1911","1911. 구로디지털단지역 앞",4.45,5,4,5,2,70484
27,"1151","1151. 마곡역1번출구",4.45,5,4,5,2,59399
28,"1209","1209. 잠실나루역 (2번 출구 쪽)",4.45,5,4,5,2,41960
29,"5862","5862. 당산역11번출구",4.45,5,4,5,2,39067
30,"4484","4484. 잠실나루역4번출구뒤",4.45,5,4,5,2,26660
31,"3782","3782. 겸재정선미술관",4.45,5,5,4,2,25397
32,"2728","2728.마곡나루역 3번 출구",4.40,5,4,5,1,121698
33,"5052","5052. 마곡역 7번출구",4.40,5,4,5,1,66948
34,"2721","2721.등촌1-10단지 교차로",4.40,5,5,4,1,62188
35,"529","529. 장한평역 8번 출구 앞",4.40,5,5,4,1,60925
36,"1867","1867.대륭포스트타워6차 앞",4.40,5,4,5,1,56544
37,"4561","4561. 양평역 1번출구",4.40,5,5,4,1,49418
38,"744","744. 신목동역 2번 출구",4.40,5,4,5,1,40741
39,"5867","5867. H타워 앞",4.40,5,5,4,1,40583
40,"2723","2723.마곡 필네이처",4.40,5,4,5,1,39086
41,"232","232. 양평우림 이비즈센타 앞",4.40,5,4,5,1,35725
42,"1946","1946. 구로역 광장",4.40,5,4,5,1,33888
43,"415","415. DMC역 9번출구 앞",4.40,5,4,5,1,33134
44,"4382","4382. 페코텍글로벌허브빌딩 앞",4.40,5,5,4,1,32387
45,"303","303. 광화문역 1번출구 앞",4.40,5,4,5,1,31377
46,"5064","5064. 양천향교역8번출구",4.40,5,5,4,1,30120
47,"238","238. 제2구민체육센타 앞",4.40,5,5,4,1,29452
48,"219","219. 롯데캐슬엠파이어 옆",4.40,5,4,5,1,28617
49,"3760","3760. 발산역 8번 출구",4.40,5,5,4,1,28299
50,"3966","3966. 독산역1번출구 B",4.40,5,5,4,1,24382
51,"2335","2335. 3호선 매봉역 3번출구앞",4.40,5,4,5,1,23871
52,"433","433. 을지로입구역 2번출구",4.40,5,4,5,1,22220
53,"2243","2243.서울가정법원",4.35,2,5,5,1,7604
54,"1835","1835. STX V타워",4.35,2,5,5,1,6965
55,"171","171. 임광빌딩 앞",4.35,2,5,5,1,6197
56,"3602","3602. 한국지역난방공사강남지사",4.35,2,5,5,1,5333
