대여소번호,대여소명,건수통일_클러스터,비중통일_클러스터,전체이용건수,평일출근건수,평일퇴근건수,주말이용건수,평일출근비중(%),평일퇴근비중(%),주말이용비중(%)
"670","670.삼육서울병원 버스정류장",Group 1,Group 3,36218,3201,6615,9352,8.84%,18.26%,25.82%
"2708","2708.강서한강자이타워 앞",Group 1,Group 1,36216,3932,9881,7444,10.86%,27.28%,20.55%
"419","419. 홈플러스 마포점 앞",Group 1,Group 3,36010,1831,7013,12180,5.08%,19.48%,33.82%
"1611","1611. 과기대 입구(우)",Group 1,Group 3,35973,2629,6671,8795,7.31%,18.54%,24.45%
"602","602. 장안동 사거리",Group 1,Group 3,35880,3393,6241,9385,9.46%,17.39%,26.16%
"2641","2641.송파역 4번출구",Group 1,Group 1,35803,3903,6934,9232,10.90%,19.37%,25.79%
"232","232. 양평우림 이비즈센타 앞",Group 1,Group 1,35725,6635,8978,6953,18.57%,25.13%,19.46%
"361","361. 동묘앞역 1번출구 뒤",Group 1,Group 1,35677,4772,5362,9090,13.38%,15.03%,25.48%
"5095","5095. 원당근린공원",Group 1,Group 1,35410,5201,6329,9585,14.69%,17.87%,27.07%
"147","147. 마포역 4번출구 뒤",Group 1,Group 1,35286,4198,8451,9561,11.90%,23.95%,27.10%
"3600","3600.사근빗물펌프장 건너편",Group 1,Group 3,35283,3731,5869,9886,10.57%,16.63%,28.02%
"1113","1113. 서남환경공원 버스정류장",Group 1,Group 4,35265,9048,4635,8900,25.66%,13.14%,25.24%
"5333","5333. 노원역9번-10번 출구 앞",Group 1,Group 3,35229,1787,8044,9586,5.07%,22.83%,27.21%
"290","290. 새말소공원",Group 1,Group 1,35200,8414,5656,7016,23.90%,16.07%,19.93%
"2002","2002. 노들역 1번출구",Group 1,Group 3,35169,3801,5524,12506,10.81%,15.71%,35.56%
"2176","2176. 보라매공원 보도육교",Group 1,Group 1,35163,6099,4834,10261,17.34%,13.75%,29.18%
"1232","1232. 잠실주공 521동 건너편",Group 1,Group 3,35111,2186,7841,10875,6.23%,22.33%,30.97%
"2377","2377. 수서역 5번출구",Group 1,Group 1,35048,3918,9503,8271,11.18%,27.11%,23.60%
"4553","4553. 당산삼성2차아파트",Group 1,Group 1,35013,8118,5691,7859,23.19%,16.25%,22.45%
"383","383. 신당역 12번 출구 뒤",Group 1,Group 1,34955,3693,5451,8438,10.57%,15.59%,24.14%
"2744","2744.강서세무서 앞",Group 1,Group 4,34944,8443,5579,7489,24.16%,15.97%,21.43%
"6058","6058. 시청역 2번출구",Group 1,Group 4,34914,9096,8584,5161,26.05%,24.59%,14.78%
"1150","1150. 송정역 1번출구",Group 1,Group 1,34775,5832,6910,7868,16.77%,19.87%,22.63%
"283","283. 아크로타워 스퀘어(영등포시장)",Group 1,Group 4,34651,8580,4713,8239,24.76%,13.60%,23.78%
"2707","2707.한강아파트",Group 1,Group 4,34342,8602,4545,8160,25.05%,13.23%,23.76%
"3664","3664. 맥도날드 서울둔촌DT점 앞",Group 1,Group 1,34342,4621,5811,8895,13.46%,16.92%,25.90%
"1012","1012. 천호역효성해링턴타워 앞",Group 1,Group 1,34325,3775,6419,8662,11.00%,18.70%,25.24%
"5883","5883. 영문초사거리",Group 1,Group 1,34310,4293,6942,8427,12.51%,20.23%,24.56%
"1180","1180. 마곡엠밸리 15단지(1502동) 건너편",Group 1,Group 1,34233,6032,6864,6853,17.62%,20.05%,20.02%
"1251","1251. 석촌역 2번출구",Group 1,Group 3,34142,3435,6368,9909,10.06%,18.65%,29.02%
"278","278. 쌍용플레티넘오피스텔",Group 1,Group 1,34114,4717,5218,9860,13.83%,15.30%,28.90%
"117","117. 홍은사거리",Group 1,Group 3,34067,3960,6545,9860,11.62%,19.21%,28.94%
"648","648. 장안동위더스빌옆",Group 1,Group 1,33994,7870,5309,7853,23.15%,15.62%,23.10%
"1946","1946. 구로역 광장",Group 1,Group 1,33888,6815,8994,6033,20.11%,26.54%,17.80%
"5887","5887.나루마을 마당공원",Group 1,Group 4,33887,9848,5015,8213,29.06%,14.80%,24.24%
"2637","2637. 아시아지하보도 14번 출구",Group 1,Group 3,33792,2774,6724,9491,8.21%,19.90%,28.09%
"6177","6177. 마곡롯데캐슬르웨스트",Group 1,Group 1,33687,7423,5830,7150,22.04%,17.31%,21.22%
"1914","1914. 대림역4번출구",Group 1,Group 1,33618,6140,6989,7405,18.26%,20.79%,22.03%
