대여소번호,대여소명,전체이용건수,평일출근건수,평일퇴근건수,주말이용건수,평일퇴근비중(%),주말비중(%),Cluster_4Counts,Cluster_Original4
102,102. 망원역 1번출구 앞,37930,4114.0,6742.0,10634.0,17.774848404956497,28.035855523332454,2,2
103,103. 망원역 2번출구 앞,28606,1709.0,5026.0,9560.0,17.56974061385723,33.41956232958121,3,1
104,104. 합정역 1번출구 앞,17065,1446.0,3826.0,4402.0,22.420158218576034,25.795487840609432,3,3
105,105. 합정역 5번출구 앞,9733,548.0,2061.0,2892.0,21.175382718586253,29.713346347477653,1,1
106,106. 합정역 7번출구 앞,25910,1267.0,4984.0,9416.0,19.23581628714782,36.34118101119259,3,1
107,107. 수협 연남동지점,16013,1509.0,3682.0,3812.0,22.99381752326235,23.80565790295385,3,3
108,108. 서교동 사거리,14995,367.0,3233.0,4796.0,21.560520173391133,31.983994664888293,3,1
111,111. 상수역 2번출구 앞,18851,852.0,3158.0,6324.0,16.752426926953476,33.547291920853006,3,1
113,113. 홍대입구역 2번출구 앞,59869,7195.0,16839.0,13647.0,28.126409327030682,22.7947685780621,4,2
114,114. 홍대입구역 8번출구 앞,18954,612.0,4058.0,5590.0,21.409728817136227,29.492455418381347,3,1
115,115. 마스타 빌딩 앞,10221,1155.0,1493.0,2785.0,14.607181293415517,27.24782310928481,1,1
117,117. 홍은사거리,34067,3960.0,6545.0,9860.0,19.212140781401356,28.942965333020226,2,2
118,118. 광흥창역 2번출구 앞,7383,910.0,1212.0,1934.0,16.416091019910606,26.19531355817418,1,1
119,119. 서강나루 공원,19457,2993.0,2884.0,5695.0,14.822428945880661,29.269671583491803,3,1
120,120. 신수동 사거리,5940,1332.0,697.0,1662.0,11.734006734006734,27.979797979797983,1,1
121,121. 마포소방서 앞,8118,1320.0,1234.0,2046.0,15.20078837152008,25.203252032520325,1,1
122,122. 신성기사식당 앞,10037,1717.0,1521.0,2700.0,15.15393045730796,26.90046826741058,1,1
123,123. 문화촌 공원,20119,4180.0,2308.0,5919.0,11.471743128386102,29.419951289825537,3,1
124,124. 서강대 정문 건너편,14395,1308.0,2437.0,4045.0,16.929489406043764,28.100034734282737,3,1
126,126. 서강대 후문 옆,8883,704.0,1617.0,1677.0,18.203309692671397,18.878757176629517,1,3
127,127. 현대벤처빌 앞,2265,226.0,419.0,596.0,18.49889624724062,26.31346578366446,1,1
128,128. 신촌역(2호선) 1번출구 옆,10442,1054.0,2366.0,2562.0,22.658494541275616,24.535529592032177,1,3
129,129. 신촌역(2호선) 6번출구 옆,7588,670.0,1188.0,2028.0,15.65629942013706,26.726410121244072,1,1
130,130. 신촌역(2호선) 7번출구 앞,21474,1375.0,4647.0,5916.0,21.64012293936854,27.549594858899134,3,1
131,131. 증산2교,21635,3032.0,3656.0,6453.0,16.898544025883986,29.826669748093366,3,1
133,133. 해담는다리,21843,3482.0,3445.0,6199.0,15.771643089319232,28.379801309343954,3,1
134,134. 연세로 명물길,7251,372.0,1427.0,2037.0,19.680044131843882,28.092676872155565,1,1
135,135. 명물길 원형무대 앞,5954,583.0,1471.0,1564.0,24.70607994625462,26.26805508901579,1,3
137,137. 신촌기차역입구 교차로,4603,228.0,974.0,1364.0,21.160112969802302,29.63284814251575,1,1
