대여소번호,대여소명,전체 이용건수,평일출근이용건수,평일퇴근이용건수,주말이용건수,평일출근비중,평일퇴근비중,주말비중
2715,2715.마곡나루역 2번 출구 ,173645,37531,42945,35006,0.21613637018054077,0.24731492412681044,0.2015952086152783
1210,1210. 롯데월드타워(잠실역2번출구 쪽),122673,15850,36630,31317,0.12920528559666755,0.29859871365337115,0.2552884497811254
2728,2728.마곡나루역 3번 출구,121698,24221,30696,19691,0.19902545645778896,0.252230932307844,0.1618021660175188
2701,2701. 마곡나루역 5번출구 뒤편,114953,41240,26959,16553,0.3587553173905857,0.23452193505171678,0.1439979817838595
5515,5515.한강버스 망원 선착장,97178,2477,14333,42817,0.025489308279651773,0.14749223075181625,0.44060384037539363
1153,"1153. 발산역 1번, 9번 인근 대여소",96067,11272,18663,21977,0.11733477677037901,0.19427066526486722,0.22876742273621534
230,230. 영등포구청역 7번출구,90789,19004,19217,18943,0.20932051239687627,0.21166661159391556,0.20864862483340493
502,502. 자양(뚝섬한강공원)역 1번출구 앞,88882,10099,17484,28850,0.11362255574807048,0.1967102450439909,0.3245876555433046
2622,2622. 올림픽공원역 3번출구,79556,10549,16141,24539,0.1325984212378702,0.20288853134898688,0.3084493941374629
2608,2608. 송파구청,79455,8444,18790,22675,0.10627399156755396,0.23648606129255553,0.28538166257630104
1124,1124. 발산역 6번 출구 뒤,72977,8440,16093,18731,0.11565287693382846,0.22052153418200254,0.25666990969757597
1911,1911. 구로디지털단지역 앞,70484,12588,17379,15256,0.17859372339821802,0.24656659667442257,0.21644628568185686
792,792.목동트라팰리스 웨스턴에비뉴,70074,2476,14179,20140,0.03533407540599937,0.2023432371492993,0.2874104518080886
769,769.CBS방송국 앞,69556,3096,17054,21890,0.044510897693944444,0.24518373684513198,0.3147104491345103
4217,4217. 한강공원 망원나들목,69466,3393,9963,27361,0.04884403881035326,0.14342268159963148,0.39387614084588146
3533,3533. 건대입구역 사거리(롯데백화점),68937,6295,13138,20609,0.09131525885953842,0.1905798047492638,0.29895411752759765
247,247. 당산역 10번출구 앞,67725,9277,16523,16637,0.13698043558508674,0.2439719453672942,0.24565522332964193
785,"785.양천구청, 보건소 사잇길",67616,4734,16311,16048,0.07001301467108377,0.241229886417416,0.23734027449124467
4870,4870. 몽촌토성역 3번 출구,67510,7593,13225,18680,0.11247222633683898,0.1958969041623463,0.276699748185454
272,272. 당산육갑문,67379,6341,13233,21863,0.09410944062690156,0.19639650336158151,0.32447795307143174
1160,1160. 양천향교역 7번출구앞,67279,11227,13835,14595,0.16687227812541802,0.20563623121627847,0.21693247521514886
1166,1166. 강서구립등빛도서관,67255,14860,10681,16184,0.22095011523306818,0.15881347111738905,0.2406363839119768
3939,3939.신도림역 3번출구,67072,7366,20285,16485,0.10982228053435114,0.30243618797709926,0.2457806536259542
5052,5052. 마곡역 7번출구,66948,13873,17656,12349,0.20722052936607516,0.2637270717571847,0.18445659317679394
765,765. 오목교역 3번출구,66480,5130,13856,19363,0.07716606498194946,0.20842358604091457,0.29126052948255116
4565,4565. 영등포 신세계백화점,66307,3349,15664,22244,0.050507487897205425,0.23623448504682765,0.3354698598941288
2102,2102. 봉림교 교통섬,65867,4385,11018,20677,0.06657354972899934,0.16727648139432494,0.31392047611095086
5768,5768.방이삼거리,64144,6650,11209,17926,0.10367298578199052,0.17474744325268146,0.2794649538538289
2733,2733.마곡13단지 정문 앞,63937,19670,7147,14560,0.307646589611649,0.11178191031796925,0.22772416597588252
3798,3798. 그랜드아이파크아파트 앞,63748,17251,9914,14419,0.2706124113697685,0.15551860450523938,0.22618748823492502
583,583. 청계천 생태교실 앞,62641,5237,10310,22958,0.08360339075046695,0.16458868792005235,0.3665011733529158
