대여소번호,대여소명,전체 이용건수,평일 출근시간 이용건수(7-9시),평일출근비중(%),평일 퇴근시간 이용건수(17-19시),평일퇴근비중(%),주말 이용건수,주말이용비중(%)
"2715","2715.마곡나루역 2번 출구",173645,37531,21.61%,42945,24.73%,35006,20.16%
"1210","1210. 롯데월드타워(잠실역2번출구 쪽)",122673,15850,12.92%,36630,29.86%,31317,25.53%
"2728","2728.마곡나루역 3번 출구",121698,24221,19.90%,30696,25.22%,19691,16.18%
"2701","2701. 마곡나루역 5번출구 뒤편",114953,41240,35.88%,26959,23.45%,16553,14.40%
"5515","5515.한강버스 망원 선착장",97178,2477,2.55%,14333,14.75%,42817,44.06%
"230","230. 영등포구청역 7번출구",90789,19004,20.93%,19217,21.17%,18943,20.86%
"502","502. 자양(뚝섬한강공원)역 1번출구 앞",88882,10099,11.36%,17484,19.67%,28850,32.46%
"2622","2622. 올림픽공원역 3번출구",79556,10549,13.26%,16141,20.29%,24539,30.84%
"2608","2608. 송파구청",79455,8444,10.63%,18790,23.65%,22675,28.54%
"1124","1124. 발산역 6번 출구 뒤",72977,8440,11.57%,16093,22.05%,18731,25.67%
"1911","1911. 구로디지털단지역 앞",70484,12588,17.86%,17379,24.66%,15256,21.64%
"792","792.목동트라팰리스 웨스턴에비뉴",70074,2476,3.53%,14179,20.23%,20140,28.74%
"769","769.CBS방송국 앞",69556,3096,4.45%,17054,24.52%,21890,31.47%
"4217","4217. 한강공원 망원나들목",69466,3393,4.88%,9963,14.34%,27361,39.39%
"3533","3533. 건대입구역 사거리(롯데백화점)",68937,6295,9.13%,13138,19.06%,20609,29.90%
"247","247. 당산역 10번출구 앞",67725,9277,13.70%,16523,24.40%,16637,24.57%
"4870","4870. 몽촌토성역 3번 출구",67510,7593,11.25%,13225,19.59%,18680,27.67%
"272","272. 당산육갑문",67379,6341,9.41%,13233,19.64%,21863,32.45%
"1160","1160. 양천향교역 7번출구앞",67279,11227,16.69%,13835,20.56%,14595,21.69%
