대여소번호,대여소명,클러스터그룹,전체이용건수,평일출근건수,평일퇴근비중(%),주말비중(%)
"1955","1955. 디지털입구 교차로",Group 1,26631,1734,22.62%,24.52%
"229","229. 양평1 보행육교 앞",Group 1,26527,1939,38.36%,19.78%
"825","825. 서빙고동 주민센터 앞",Group 1,26519,1714,16.93%,38.97%
"5301","5301. 상계주공1단지 버스정류장 옆(대원빌딩 앞)",Group 1,26378,3000,17.38%,26.84%
"1169","1169. 염창역 1번 출구",Group 1,26184,3054,26.89%,23.84%
"474","474.동대문역사문화공원역 1번출구 뒤편",Group 1,26164,1950,22.58%,24.85%
"287","287. 영등포전화국사거리 (서강어린이공원)",Group 1,26074,5186,16.00%,26.07%
"1657","1657. 노원구청",Group 1,26055,1379,32.60%,16.09%
"576","576. 광나루역 3번 출구",Group 1,26032,3265,16.35%,28.68%
"106","106. 합정역 7번출구 앞",Group 1,25910,1267,19.24%,36.34%
"1135","1135. 강서구의회",Group 1,25868,6358,12.92%,23.36%
"362","362. 청계8가사거리 A",Group 1,25792,5347,13.85%,28.92%
"4798","4798. 황학동롯데캐슬",Group 1,25790,2915,18.77%,26.47%
"1452","1452. 겸재교 진입부",Group 1,25767,3207,14.25%,30.59%
"615","615. 용두동 래미안허브리츠아파트 앞",Group 1,25735,3768,18.02%,25.30%
"500","500. 어린이대공원역 3번출구 앞",Group 1,25711,2971,18.05%,24.76%
"549","549. 아차산역 3번출구",Group 1,25681,3487,17.63%,27.69%
"1291","1291. 서울체육고등학교 앞",Group 1,25600,1312,25.99%,14.45%
"663","663. 외대앞역 3번출구",Group 1,25599,2833,20.32%,24.92%
"870","870.노들섬 서측 앞",Group 1,25568,332,20.08%,43.22%
"1048","1048. 둔촌어린이공원",Group 1,25500,4943,14.47%,26.04%
"498","498.연남동주민센터 앞",Group 1,25464,3388,18.97%,25.15%
"3782","3782. 겸재정선미술관",Group 1,25397,6484,18.85%,22.37%
"267","267. 삼성화재 사옥 옆",Group 1,25339,2934,21.05%,24.14%
"146","146. 마포역 2번출구 뒤",Group 1,25262,2929,21.38%,27.19%
"1381","1381.석계역 4번출구 뒤",Group 1,25257,2467,19.34%,27.61%
"5886","5886.신풍역 2번출구",Group 1,25241,2634,19.14%,25.74%
"393","393. 동대문역 8번 출구",Group 1,25228,1968,18.02%,17.37%
"1996","1996. 구일역 1번 출입구 앞",Group 1,25188,4022,18.50%,29.72%
"2702","2702. 마곡 엠밸리2단지",Group 1,25177,7298,12.28%,21.59%
"224","224. 롯데캐슬 앞",Group 1,25168,2666,22.92%,23.01%
"4041","4041. 공릉역3번출구",Group 1,25108,2063,18.57%,26.12%
"1448","1448. 코스트코 상봉점",Group 1,25103,1776,15.73%,29.54%
"4600","4600. 서울 영등포구 우체국",Group 1,25100,4965,19.49%,17.85%
"4013","4013. 중계 롯데마트",Group 1,25086,3195,14.65%,26.58%
"153","153. 성산2교 사거리",Group 1,25043,4191,17.75%,25.18%
"227","227. 양평1나들목 보행통로 입구",Group 1,25027,3010,14.64%,37.34%
