대여소번호,대여소명,표준화_건수4열_클러스터,표준화_혼합4열_클러스터,전체이용건수,평일출근건수,평일퇴근건수,주말이용건수,평일퇴근비중(%),주말비중(%)
"5515","5515.한강버스 망원 선착장",Group 1,Group 3,97178,2477,14333,42817,14.75%,44.06%
"502","502. 자양(뚝섬한강공원)역 1번출구 앞",Group 1,Group 3,88882,10099,17484,28850,19.67%,32.46%
"2622","2622. 올림픽공원역 3번출구",Group 1,Group 3,79556,10549,16141,24539,20.29%,30.84%
"2608","2608. 송파구청",Group 1,Group 3,79455,8444,18790,22675,23.65%,28.54%
"1124","1124. 발산역 6번 출구 뒤",Group 1,Group 3,72977,8440,16093,18731,22.05%,25.67%
"1911","1911. 구로디지털단지역 앞",Group 1,Group 3,70484,12588,17379,15256,24.66%,21.64%
"792","792.목동트라팰리스 웨스턴에비뉴",Group 1,Group 3,70074,2476,14179,20140,20.23%,28.74%
"769","769.CBS방송국 앞",Group 1,Group 3,69556,3096,17054,21890,24.52%,31.47%
"4217","4217. 한강공원 망원나들목",Group 1,Group 3,69466,3393,9963,27361,14.34%,39.39%
"3533","3533. 건대입구역 사거리(롯데백화점)",Group 1,Group 3,68937,6295,13138,20609,19.06%,29.90%
"247","247. 당산역 10번출구 앞",Group 1,Group 3,67725,9277,16523,16637,24.40%,24.57%
"4870","4870. 몽촌토성역 3번 출구",Group 1,Group 3,67510,7593,13225,18680,19.59%,27.67%
"272","272. 당산육갑문",Group 1,Group 3,67379,6341,13233,21863,19.64%,32.45%
"1160","1160. 양천향교역 7번출구앞",Group 1,Group 3,67279,11227,13835,14595,20.56%,21.69%
"1166","1166. 강서구립등빛도서관",Group 1,Group 3,67255,14860,10681,16184,15.88%,24.06%
"3939","3939.신도림역 3번출구",Group 1,Group 3,67072,7366,20285,16485,30.24%,24.58%
"5052","5052. 마곡역 7번출구",Group 1,Group 3,66948,13873,17656,12349,26.37%,18.45%
"765","765. 오목교역 3번출구",Group 1,Group 3,66480,5130,13856,19363,20.84%,29.13%
"4565","4565. 영등포 신세계백화점",Group 1,Group 3,66307,3349,15664,22244,23.62%,33.55%
"2102","2102. 봉림교 교통섬",Group 1,Group 3,65867,4385,11018,20677,16.73%,31.39%
"5768","5768.방이삼거리",Group 1,Group 3,64144,6650,11209,17926,17.47%,27.95%
"2733","2733.마곡13단지 정문 앞",Group 1,Group 3,63937,19670,7147,14560,11.18%,22.77%
"3798","3798. 그랜드아이파크아파트 앞",Group 1,Group 3,63748,17251,9914,14419,15.55%,22.62%
"583","583. 청계천 생태교실 앞",Group 1,Group 3,62641,5237,10310,22958,16.46%,36.65%
"2721","2721.등촌1-10단지 교차로",Group 1,Group 3,62188,15675,13075,11807,21.02%,18.99%
"5891","5891.한강버스 여의도 선착장",Group 1,Group 4,61488,837,10765,26264,17.51%,42.71%
"5082","5082. 가양역 7번출구",Group 1,Group 3,61448,8444,15373,13459,25.02%,21.90%
"2620","2620. 송파나루역 4번 출구옆",Group 1,Group 3,61183,8321,10639,17390,17.39%,28.42%
"529","529. 장한평역 8번 출구 앞",Group 1,Group 3,60925,15391,13523,10446,22.20%,17.15%
"1050","1050.  둔촌역 3번 출입구",Group 1,Group 3,60119,8242,10510,15189,17.48%,25.26%
"113","113. 홍대입구역 2번출구 앞",Group 1,Group 3,59869,7195,16839,13647,28.13%,22.79%
"1906","1906. 신도림역 1번 출구 앞",Group 1,Group 3,59498,13084,15252,13357,25.63%,22.45%
"1151","1151. 마곡역1번출구",Group 1,Group 3,59399,10580,14417,12449,24.27%,20.96%
"5858","5858. 영등포역5번출구",Group 1,Group 3,59215,11977,9522,15584,16.08%,26.32%
"3534","3534. 건대입구역 5번출구 뒤",Group 1,Group 3,58808,6405,10722,15939,18.23%,27.10%
"5153","5153.한강버스 뚝섬 선착장",Group 1,Group 4,58351,1188,10327,23905,17.70%,40.97%
"508","508. 성수아카데미타워 앞",Group 1,Group 3,57587,14798,14242,9182,24.73%,15.94%
"1009","1009. 천호역4번출구(현대백화점)",Group 1,Group 3,57506,4566,14003,16393,24.35%,28.51%
"1867","1867.대륭포스트타워6차 앞",Group 1,Group 3,56544,10846,20542,7516,36.33%,13.29%
"2717","2717.LG유플러스 마곡사옥",Group 1,Group 1,56514,4110,27175,4611,48.09%,8.16%
"1222","1222. 잠실새내역 5번 출구 뒤",Group 1,Group 3,55811,5087,10775,15798,19.31%,28.31%
"781","781.신정보도육교 아래",Group 1,Group 3,55742,15176,7785,13542,13.97%,24.29%
"3518","3518. 군자역 7번출구뒤",Group 1,Group 3,55695,10080,11586,12530,20.80%,22.50%
"1625","1625. 상계역 3번출구",Group 1,Group 3,55091,8151,9421,13974,17.10%,25.37%
"4574","4574. 영등포시장역 포레나영등포",Group 1,Group 3,54936,9107,11367,13210,20.69%,24.05%
"1112","1112. 마곡엠밸리4단지 정문",Group 1,Group 3,54666,7179,11168,13018,20.43%,23.81%
"1152","1152. 마곡역교차로",Group 1,Group 3,54446,7831,14814,10355,27.21%,19.02%
"4543","4543. 오목교역 6번 출구",Group 1,Group 3,53602,6509,12880,13489,24.03%,25.17%
"2739","2739.수명산파크1단지교차로",Group 1,Group 3,53373,15205,6973,11926,13.06%,22.34%
"4457","4457. 아산병원 기숙사 부근",Group 1,Group 3,53097,3544,15640,8567,29.46%,16.13%
"726","726. 목동3단지 시내버스정류장",Group 1,Group 3,52964,11717,7617,13247,14.38%,25.01%
"585","585. 성수2가1동 공영주차장 인근",Group 1,Group 3,52416,8506,9680,14369,18.47%,27.41%
"797","797.목동아파트 1422동 1434동 사잇길",Group 1,Group 3,52209,11270,8009,13515,15.34%,25.89%
"708","708. 서울출입국관리사무소 앞",Group 1,Group 3,52154,7270,10462,12530,20.06%,24.03%
"5784","5784.한강버스 잠실 선착장",Group 1,Group 4,51916,1625,7522,24040,14.49%,46.31%
"1019","1019. 다성이즈빌아파트(호원대 대각선 맞은편)",Group 1,Group 3,51646,10806,8355,12228,16.18%,23.68%
"3569","3569.건대병원후문",Group 1,Group 3,51584,7456,9348,11168,18.12%,21.65%
"4571","4571. 문래동롯데캐슬아파트",Group 1,Group 3,51277,12442,9487,11654,18.50%,22.73%
"1158","1158. 가양역 8번출구",Group 1,Group 3,51228,7541,11021,11453,21.51%,22.36%
"1190","1190. 마곡역 교차로(2번출구)",Group 1,Group 3,51145,6189,13143,11983,25.70%,23.43%
"770","770.목동역5번출구",Group 1,Group 3,50444,7563,11630,9877,23.06%,19.58%
"1078","1078.둔촌사거리",Group 1,Group 3,49945,7191,7127,15458,14.27%,30.95%
"5781","5781. 올림픽공원 수영장",Group 1,Group 3,49519,7562,6366,11436,12.86%,23.09%
"4561","4561. 양평역 1번출구",Group 1,Group 3,49418,12586,10463,9897,21.17%,20.03%
"3780","3780. 등촌서광아파트",Group 1,Group 3,49309,11197,7758,11903,15.73%,24.14%
"240","240. 문래역 4번출구 앞",Group 1,Group 3,48986,10085,10930,10452,22.31%,21.34%
"1020","1020. 강동경찰서",Group 1,Group 3,48978,9883,7768,9830,15.86%,20.07%
"1925","1925. 동양미래대학교 정문 옆",Group 1,Group 3,48965,6598,7521,13120,15.36%,26.79%
"5651","5651.한강버스 옥수 선착장",Group 1,Group 4,48408,1843,9067,19084,18.73%,39.42%
"1167","1167. 마곡수명산파크3단지 교차로",Group 1,Group 3,48269,11927,7364,11482,15.26%,23.79%
"1601","1601. 석계역 문화광장 내 자전거 보관소",Group 1,Group 3,48192,4709,10508,11461,21.80%,23.78%
"3681","3681. 길동 마루빌딩",Group 1,Group 3,48138,5784,8213,13375,17.06%,27.78%
"207","207. 여의나루역 1번출구 앞",Group 1,Group 4,47872,4473,11375,15189,23.76%,31.73%
"209","209. 유진투자증권빌딩 앞",Group 1,Group 1,47705,2420,17419,11453,36.51%,24.01%
"5061","5061. 우장산동 가곡어린이공원앞",Group 1,Group 3,47558,6724,7490,12071,15.75%,25.38%
"1184","1184. 마곡13단지",Group 1,Group 3,47319,15621,5526,10976,11.68%,23.20%
"3668","3668. 성내삼성아파트",Group 1,Group 3,47247,10135,7284,11438,15.42%,24.21%
"1084","1084. 윤선생빌딩(JYP사옥)",Group 1,Group 3,46577,5376,11627,11353,24.96%,24.37%
"746","746. 목동2단지 상가",Group 1,Group 4,46240,2667,8333,14832,18.02%,32.08%
"1157","1157. 강서구청",Group 1,Group 3,46181,13367,7786,9111,16.86%,19.73%
"243","243. 이앤씨드림타워 앞",Group 1,Group 3,46132,5137,11640,10786,25.23%,23.38%
"1608","1608. 공릉역 1번 출구 앞",Group 1,Group 3,46131,5835,9464,10178,20.52%,22.06%
"1044","1044. 굽은다리역",Group 1,Group 3,46104,5723,7899,12428,17.13%,26.96%
"4940","4940.한강버스 압구정 선착장",Group 1,Group 4,46092,1298,8357,20197,18.13%,43.82%
"787","787.양천아파트 입구",Group 1,Group 3,46086,13055,6548,10702,14.21%,23.22%
"3571","3571.화양 APT(횡단보도 옆)",Group 1,Group 3,45986,8639,8236,10310,17.91%,22.42%
"4531","4531. 목동아파트 613동 앞",Group 1,Group 3,45950,10291,6377,12679,13.88%,27.59%
"4029","4029. 청소년수련관 후문",Group 1,Group 3,45915,9352,5776,12347,12.58%,26.89%
"4137","4137. 답십리역 4번출구",Group 1,Group 3,45845,5399,11524,10393,25.14%,22.67%
"2639","2639.석촌역 8번출구",Group 1,Group 3,45582,7550,9230,10914,20.25%,23.94%
"263","263. 근로자회관 사거리",Group 1,Group 3,45137,5820,10434,10430,23.12%,23.11%
"1117","1117. 등촌5단지아파트 버스정류장",Group 1,Group 3,45000,6543,8904,9777,19.79%,21.73%
"2719","2719.마곡문화공원",Group 1,Group 1,44848,4498,18468,5859,41.18%,13.06%
"202","202. 국민일보 앞",Group 1,Group 1,44756,3946,16104,9553,35.98%,21.34%
"4508","4508. 유원목동아파트 103동 앞",Group 1,Group 3,44528,6187,6974,10923,15.66%,24.53%
"1295","1295. 잠실역 8번출구",Group 1,Group 4,44519,3004,10696,12601,24.03%,28.30%
"5096","5096. LG사이언스파크 E14동",Group 1,Group 1,44505,4127,25012,976,56.20%,2.19%
"1011","1011. LIGA 아파트 앞",Group 1,Group 3,44309,7658,7111,10755,16.05%,24.27%
"1173","1173. 강서구청사거리(SH타워)",Group 1,Group 3,44097,11201,6257,10478,14.19%,23.76%
"795","795.양천 해누리타운",Group 1,Group 3,44085,5297,8938,9763,20.27%,22.15%
"1149","1149. 신방화역환승주차장",Group 1,Group 3,44051,5484,9549,10568,21.68%,23.99%
"3680","3680. 강동역3번출구",Group 1,Group 3,43786,7617,8704,9469,19.88%,21.63%
"2628","2628.문정역 1번출구",Group 1,Group 3,43514,6904,9285,8971,21.34%,20.62%
"2646","2646.레이크펠리스101동앞",Group 1,Group 3,43374,5874,6531,12555,15.06%,28.95%
"1985","1985. 구로도서관",Group 1,Group 3,43317,7373,6960,10797,16.07%,24.93%
"779","779. 신정1동 주민센터 앞",Group 1,Group 3,43270,6530,7640,11639,17.66%,26.90%
"1182","1182. KBS 스포츠월드",Group 1,Group 3,43259,9550,7102,8005,16.42%,18.50%
"3219","3219.영등포역 1번출구",Group 1,Group 3,43185,7528,9706,11046,22.48%,25.58%
"217","217. NH농협은행 앞",Group 1,Group 1,43039,4786,15917,5461,36.98%,12.69%
"1637","1637. KT 전화국 버스정류장 옆",Group 1,Group 4,42925,2563,9189,12266,21.41%,28.58%
"4452","4452. 삼성SDS",Group 1,Group 1,42597,2807,17845,6137,41.89%,14.41%
"703","703. 오목교역 7번출구 앞",Group 1,Group 3,42528,5887,10858,9724,25.53%,22.86%
"3881","3881. 신자초교입구 교차로",Group 1,Group 3,42468,9598,5263,11300,12.39%,26.61%
"1024","1024.  강동구청 앞",Group 1,Group 3,42209,5775,9272,9592,21.97%,22.73%
"5080","5080. 가양역 1번출구",Group 1,Group 3,42174,7507,9036,9268,21.43%,21.98%
"431","431. 청계천 영도교",Group 1,Group 3,42101,6271,5941,10367,14.11%,24.62%
"2136","2136. 신림역 8번출구",Group 1,Group 4,41976,3443,6650,12118,15.84%,28.87%
"1209","1209. 잠실나루역 (2번 출구 쪽)",Group 1,Group 3,41960,8354,10266,8895,24.47%,21.20%
"4233","4233. 코오롱아파트사거리",Group 1,Group 3,41838,6612,6849,11499,16.37%,27.48%
"2824","2824.미래사랑어린이공원 앞",Group 1,Group 4,41804,5142,10703,10337,25.60%,24.73%
"228","228. 선유도역 3번출구 앞",Group 1,Group 4,41758,4745,8437,12291,20.20%,29.43%
"4897","4897. 잠실주공5단지1",Group 1,Group 3,41740,11772,4894,11206,11.72%,26.85%
"1684","1684. 태릉입구역 5번출구",Group 1,Group 4,41679,2780,8696,10888,20.86%,26.12%
