순위,대여소번호,대여소명,가중합종합점수(5점만점),전체이용건수_점수,평일출근비중_점수,평일퇴근비중_점수,주말이용비중_점수,전체이용건수
1,"2622","2622. 올림픽공원역 3번출구",4.25,5,3,4,5,79556
2,"2608","2608. 송파구청",4.25,5,2,5,5,79455
3,"1906","1906. 신도림역 1번 출구 앞",4.25,5,5,5,2,59498
4,"207","207. 여의나루역 1번출구 앞",4.25,5,2,5,5,47872
5,"4535","4535. 목동12단지 아파트",4.25,5,5,2,5,35650
6,"1908","1908. 해원리바파크 육교 밑",4.25,5,5,4,3,35460
7,"1996","1996. 구일역 1번 출입구 앞",4.25,5,3,4,5,25188
8,"3934","3934. 철도교통관제센터 정문 앞",4.25,5,5,5,2,23348
9,"2715","2715.마곡나루역 2번 출구",4.00,5,5,5,1,173645
10,"1210","1210. 롯데월드타워(잠실역2번출구 쪽)",4.00,5,3,5,3,122673
11,"2701","2701. 마곡나루역 5번출구 뒤편",4.00,5,5,5,1,114953
12,"502","502. 자양(뚝섬한강공원)역 1번출구 앞",4.00,5,2,4,5,88882
13,"1911","1911. 구로디지털단지역 앞",4.00,5,4,5,2,70484
14,"769","769.CBS방송국 앞",4.00,5,1,5,5,69556
15,"3533","3533. 건대입구역 사거리(롯데백화점)",4.00,5,2,4,5,68937
16,"247","247. 당산역 10번출구 앞",4.00,5,3,5,3,67725
17,"272","272. 당산육갑문",4.00,5,2,4,5,67379
18,"4565","4565. 영등포 신세계백화점",4.00,5,1,5,5,66307
19,"2620","2620. 송파나루역 4번 출구옆",4.00,5,3,3,5,61183
20,"1151","1151. 마곡역1번출구",4.00,5,4,5,2,59399
21,"5858","5858. 영등포역5번출구",4.00,5,4,3,4,59215
22,"508","508. 성수아카데미타워 앞",4.00,5,5,5,1,57587
23,"1009","1009. 천호역4번출구(현대백화점)",4.00,5,1,5,5,57506
24,"4531","4531. 목동아파트 613동 앞",4.00,5,5,2,4,45950
25,"1295","1295. 잠실역 8번출구",4.00,5,1,5,5,44519
26,"3219","3219.영등포역 1번출구",4.00,5,4,4,3,43185
27,"1209","1209. 잠실나루역 (2번 출구 쪽)",4.00,5,4,5,2,41960
28,"228","228. 선유도역 3번출구 앞",4.00,5,2,4,5,41758
29,"5882","5882. 휴젠느",4.00,5,5,3,3,41285
30,"1264","1264. 천호역 10번 출구 앞",4.00,5,3,5,3,40738
31,"2623","2623.석촌동 주민센터",4.00,5,4,3,4,40120
32,"4865","4865. 한성백제역 1번출구 뒤",4.00,5,4,3,4,39097
33,"5862","5862. 당산역11번출구",4.00,5,4,5,2,39067
34,"3784","3784. 벽산아파트",4.00,5,5,2,4,37956
35,"565","565. 옥수역 3번출구",4.00,5,2,4,5,37283
36,"147","147. 마포역 4번출구 뒤",4.00,5,2,5,4,35286
37,"2176","2176. 보라매공원 보도육교",4.00,5,4,2,5,35163
38,"6058","6058. 시청역 2번출구",4.00,5,5,5,1,34914
39,"1251","1251. 석촌역 2번출구",4.00,5,2,4,5,34142
40,"117","117. 홍은사거리",4.00,5,2,4,5,34067
41,"3868","3868. 자양한강도서관",4.00,5,5,2,4,32039
42,"1162","1162. 공항초등학교건너편",4.00,5,5,2,4,31900
43,"2632","2632.석촌고분역 2번 출구",4.00,5,3,3,5,31895
44,"2615","2615. 테라타워2",4.00,5,5,5,1,31739
45,"796","796.목동아파트 14단지 B상가 앞",4.00,5,5,2,4,31297
46,"1226","1226. 잠실4동 주민센터 옆",4.00,5,5,3,3,31070
47,"512","512. 뚝섬역 1번 출구 옆",4.00,5,2,5,4,30925
48,"2635","2635.잠실새내역 1번출구",4.00,5,2,4,5,30924
49,"284","284. 센트럴 푸르지오 시티 앞",4.00,5,3,4,4,30064
50,"1198","1198. LG 사이언스파크",4.00,5,5,5,1,29807
51,"786","786.목동아파트 8단지 상가동 앞",4.00,5,4,2,5,29591
52,"548","548. 자양나들목",4.00,5,5,1,5,29111
53,"4481","4481. 올림픽공원 북2문 B",4.00,5,2,4,5,28413
54,"4122","4122. 청계9가교차로 앞",4.00,5,5,3,3,27804
55,"226","226. 샛강역 1번출구 앞",4.00,5,5,5,1,27796
56,"574","574. 아차산역4번출구",4.00,5,4,3,4,27663
57,"1851","1851. 가산디지털단지 9번출구 인근",4.00,5,5,5,1,27458
58,"203","203. 국회의사당역 3번출구 옆",4.00,5,5,5,1,27427
59,"4594","4594. 양평교 영등포대여소",4.00,5,4,4,3,27387
60,"3205","3205.문래현대2차",4.00,5,5,1,5,26729
61,"4484","4484. 잠실나루역4번출구뒤",4.00,5,4,5,2,26660
62,"362","362. 청계8가사거리 A",4.00,5,4,2,5,25792
63,"3782","3782. 겸재정선미술관",4.00,5,5,4,2,25397
64,"2255","2255. 양재시민의숲역 1번출구",4.00,5,5,5,1,24789
65,"3757","3757. 신방화역 6번출구",4.00,5,3,5,3,24652
66,"905","905. 구파발역 2번출구",4.00,5,1,5,5,24509
67,"4598","4598. 오목교 동측 지하보도",4.00,5,4,3,4,24418
68,"3692","3692. 둔촌오륜역 1번 출구",4.00,5,4,3,4,23735
69,"626","626. 군자교 서측 녹지대",4.00,5,4,4,3,23664
70,"4559","4559. 신길역 2번출구",4.00,5,4,4,3,23568
71,"2025","2025. 흑석역 1번출구",4.00,5,2,4,5,23316
72,"2724","2724.(재)FITI시험연구원",4.00,5,5,5,1,23311
73,"4856","4856. 올림픽공원 서1문 앞",4.00,5,2,5,4,23211
74,"593","593.자양중앙나들목",4.00,5,5,1,5,22936
75,"2913","2913.상계8동 주민센터",4.00,5,5,2,4,22735
76,"133","133. 해담는다리",4.00,5,3,3,5,21843
77,"221","221. 여의도초교 앞",4.00,4,3,4,5,19128
78,"4220","4220. 신촌 청년주택",4.00,4,5,2,5,18583
79,"1245","1245. 문정 법조단지9",4.00,4,3,4,5,17754
80,"1827","1827. 독산보도육교 앞 자전거 보관소",4.00,4,2,5,5,17244
81,"766","766. 신목동역 3번출구",4.00,4,2,5,5,16691
82,"3125","3125.연희파크푸르지오아파트 앞",4.00,4,5,2,5,14950
83,"148","148. 용강동 주민센터 앞",4.00,4,5,2,5,14658
84,"2728","2728.마곡나루역 3번 출구",3.75,5,4,5,1,121698
85,"792","792.목동트라팰리스 웨스턴에비뉴",3.75,5,1,4,5,70074
86,"4870","4870. 몽촌토성역 3번 출구",3.75,5,2,4,4,67510
87,"1160","1160. 양천향교역 7번출구앞",3.75,5,4,4,2,67279
88,"1166","1166. 강서구립등빛도서관",3.75,5,5,3,2,67255
89,"3939","3939.신도림역 3번출구",3.75,5,2,5,3,67072
90,"5052","5052. 마곡역 7번출구",3.75,5,4,5,1,66948
91,"765","765. 오목교역 3번출구",3.75,5,1,4,5,66480
92,"2721","2721.등촌1-10단지 교차로",3.75,5,5,4,1,62188
93,"5082","5082. 가양역 7번출구",3.75,5,3,5,2,61448
94,"529","529. 장한평역 8번 출구 앞",3.75,5,5,4,1,60925
95,"1867","1867.대륭포스트타워6차 앞",3.75,5,4,5,1,56544
96,"1222","1222. 잠실새내역 5번 출구 뒤",3.75,5,1,4,5,55811
97,"781","781.신정보도육교 아래",3.75,5,5,2,3,55742
98,"3518","3518. 군자역 7번출구뒤",3.75,5,4,4,2,55695
99,"4574","4574. 영등포시장역 포레나영등포",3.75,5,4,4,2,54936
100,"4543","4543. 오목교역 6번 출구",3.75,5,2,5,3,53602
101,"726","726. 목동3단지 시내버스정류장",3.75,5,5,2,3,52964
102,"585","585. 성수2가1동 공영주차장 인근",3.75,5,3,3,4,52416
103,"797","797.목동아파트 1422동 1434동 사잇길",3.75,5,5,2,3,52209
104,"4571","4571. 문래동롯데캐슬아파트",3.75,5,5,3,2,51277
105,"1078","1078.둔촌사거리",3.75,5,3,2,5,49945
106,"4561","4561. 양평역 1번출구",3.75,5,5,4,1,49418
107,"3780","3780. 등촌서광아파트",3.75,5,5,2,3,49309
108,"240","240. 문래역 4번출구 앞",3.75,5,4,4,2,48986
109,"5651","5651.한강버스 옥수 선착장",3.75,5,1,4,5,48408
110,"3668","3668. 성내삼성아파트",3.75,5,5,2,3,47247
111,"1084","1084. 윤선생빌딩(JYP사옥)",3.75,5,2,5,3,46577
112,"2639","2639.석촌역 8번출구",3.75,5,4,4,2,45582
113,"263","263. 근로자회관 사거리",3.75,5,3,5,2,45137
114,"1011","1011. LIGA 아파트 앞",3.75,5,4,3,3,44309
115,"3680","3680. 강동역3번출구",3.75,5,4,4,2,43786
116,"2646","2646.레이크펠리스101동앞",3.75,5,3,2,5,43374
117,"1985","1985. 구로도서관",3.75,5,4,3,3,43317
118,"779","779. 신정1동 주민센터 앞",3.75,5,3,3,4,43270
119,"1637","1637. KT 전화국 버스정류장 옆",3.75,5,1,4,5,42925
120,"703","703. 오목교역 7번출구 앞",3.75,5,3,5,2,42528
121,"3881","3881. 신자초교입구 교차로",3.75,5,5,1,4,42468
122,"5080","5080. 가양역 1번출구",3.75,5,4,4,2,42174
123,"4233","4233. 코오롱아파트사거리",3.75,5,3,3,4,41838
124,"2824","2824.미래사랑어린이공원 앞",3.75,5,2,5,3,41804
125,"4897","4897. 잠실주공5단지1",3.75,5,5,1,4,41740
126,"907","907. CJ 드림시티",3.75,5,2,3,5,41059
127,"853","853.용산역 맞은편",3.75,5,1,4,5,40797
128,"744","744. 신목동역 2번 출구",3.75,5,4,5,1,40741
129,"5867","5867. H타워 앞",3.75,5,5,4,1,40583
130,"2621","2621. 한성백제역 2번 출구",3.75,5,2,3,5,40094
131,"1653","1653. 노원역1번출구",3.75,5,1,5,4,39830
132,"1106","1106. 신방화사거리",3.75,5,4,3,3,39587
133,"1010","1010. 강동세무서",3.75,5,3,4,3,39256
134,"1650","1650. 중계근린공원내",3.75,5,3,3,4,39150
135,"2723","2723.마곡 필네이처",3.75,5,4,5,1,39086
136,"1029","1029. 성내어울터",3.75,5,1,4,5,38449
137,"731","731. 서울시 도로환경관리센터",3.75,5,1,4,5,38340
138,"2919","2919.등나무 근린공원(시립북서울미술관 앞)",3.75,5,1,4,5,38293
